💝联通线路【半网通】,#genre#
北京纪实科教,http://39.134.52.215/PLTV/88888888/224/3221226472/index.m3u8
睛彩篮球,http://39.134.52.215/PLTV/88888888/224/3221227075/index.m3u8
睛彩青少,http://39.134.52.215/PLTV/88888888/224/3221227140/index.m3u8
睛彩竞技,http://39.134.52.215/PLTV/88888888/224/3221227138/index.m3u8
睛彩广场舞,http://39.134.52.215/PLTV/88888888/224/3221227142/index.m3u8
北京卫视,http://39.134.52.215/PLTV/88888888/224/3221226871/index.m3u8
东方卫视,http://39.134.52.215/PLTV/88888888/224/3221226877/index.m3u8
江苏卫视,http://39.134.52.215/PLTV/88888888/224/3221226930/index.m3u8
浙江卫视,http://39.134.52.215/PLTV/88888888/224/3221226932/index.m3u8
湖南卫视,http://39.134.52.215/PLTV/88888888/224/3221226936/index.m3u8
黑龙江卫视,http://39.134.52.215/PLTV/88888888/224/3221226873/index.m3u8
深圳卫视,http://39.134.52.215/PLTV/88888888/224/3221226881/index.m3u8
天津卫视,http://39.134.52.215/PLTV/88888888/224/3221226926/index.m3u8
广东卫视,http://39.134.52.215/PLTV/88888888/224/3221226934/index.m3u8
山东卫视,http://39.134.52.215/PLTV/88888888/224/3221226875/index.m3u8
安徽卫视,http://39.134.52.215/PLTV/88888888/224/3221226879/index.m3u8
四川卫视,http://39.134.52.215/PLTV/88888888/224/3221226938/index.m3u8
东南卫视,http://39.134.52.215/PLTV/88888888/224/3221227071/index.m3u8
贵州卫视,http://39.134.52.215/PLTV/88888888/224/3221226616/index.m3u8
吉林卫视,http://39.134.52.215/PLTV/88888888/224/3221226928/index.m3u8
江西卫视,http://39.134.52.215/PLTV/88888888/224/3221227136/index.m3u8
河北卫视,http://39.134.52.215/PLTV/88888888/224/3221227132/index.m3u8
湖北卫视,http://39.134.52.215/PLTV/88888888/224/3221226883/index.m3u8
重庆卫视,http://39.134.52.215/PLTV/88888888/224/3221226885/index.m3u8
河南卫视,http://39.134.52.215/PLTV/88888888/224/3221227069/index.m3u8
CCTV-第一剧场,http://39.134.52.215/PLTV/88888888/224/3221227144/index.m3u8
CCTV-怀旧剧场,http://39.134.52.215/PLTV/88888888/224/3221227079/index.m3u8
CCTV-风云剧场,http://39.134.52.215/PLTV/88888888/224/3221227146/index.m3u8
CCTV-风云足球,http://39.134.52.215/PLTV/88888888/224/3221227081/index.m3u8
CCTV-风云音乐,http://39.134.52.215/PLTV/88888888/224/3221227148/index.m3u8
山西卫视,http://39.134.52.215/PLTV/88888888/224/3221226475/index.m3u8
广西卫视,http://39.134.52.215/PLTV/88888888/224/3221227073/index.m3u8
云南卫视,http://39.134.52.215/PLTV/88888888/224/3221227134/index.m3u8
兵团卫视,http://39.134.52.215/PLTV/88888888/224/3221226602/index.m3u8
甘肃卫视,http://39.134.52.215/PLTV/88888888/224/3221226612/index.m3u8
宁夏卫视,http://39.134.52.215/PLTV/88888888/224/3221226587/index.m3u8
新疆卫视,http://39.134.52.215/PLTV/88888888/224/3221226601/index.m3u8
西藏卫视,http://39.134.52.215/PLTV/88888888/224/3221226630/index.m3u8
内蒙古卫视,http://39.134.52.215/PLTV/88888888/224/3221226626/index.m3u8
陕西卫视,http://39.134.52.215/PLTV/88888888/224/3221226591/index.m3u8
青海卫视,http://39.134.52.215/PLTV/88888888/224/3221226628/index.m3u8
延边卫视,http://39.134.52.215/PLTV/88888888/224/3221226767/index.m3u8
厦门卫视,http://39.134.52.215/PLTV/88888888/224/3221226529/index.m3u8
农林卫视,http://39.134.52.215/PLTV/88888888/224/3221226818/index.m3u8
康巴卫视,http://39.134.52.215:80/PLTV/88888888/224/3221226822/index.m3u8
安多卫视,http://39.134.52.215:80/PLTV/88888888/224/3221226769/index.m3u8
CETV1,http://39.134.52.215/PLTV/88888888/224/3221226518/index.m3u8
嘉佳卡通,http://39.134.52.215/PLTV/88888888/224/3221226514/index.m3u8
优漫卡通,http://39.134.52.215/PLTV/88888888/224/3221226548/1.m3u8
山东教育,http://39.134.52.215/PLTV/88888888/224/3221226816/index.m3u8
咪咕1,http://39.134.52.215/PLTV/88888888/224/3221226899/index.m3u8
咪咕2,http://39.134.52.214/PLTV/88888888/224/3221226901/index.m3u8
咪咕3,http://39.134.52.214/PLTV/88888888/224/3221226956/index.m3u8
咪咕4,http://39.134.52.215/PLTV/88888888/224/3221227029/index.m3u8
咪咕5,http://39.134.52.215/PLTV/88888888/224/3221227055/index.m3u8
咪咕6,http://39.134.52.215/PLTV/88888888/224/3221227059/index.m3u8
咪咕7,http://39.134.52.215/PLTV/88888888/224/3221227098/index.m3u8
咪咕8,http://39.134.52.215/PLTV/88888888/224/3221227100/index.m3u8
咪咕9,http://39.134.52.215/PLTV/88888888/224/3221227102/index.m3u8
咪咕10,http://39.134.52.215/PLTV/88888888/224/3221227104/index.m3u8
咪咕11,http://39.134.52.215/PLTV/88888888/224/3221227106/index.m3u8
咪咕12,http://39.134.52.215/PLTV/88888888/224/3221227108/index.m3u8
咪咕13,http://39.134.52.215/PLTV/88888888/224/3221227110/index.m3u8
咪咕14,http://39.134.52.215/PLTV/88888888/224/3221227112/index.m3u8
咪咕15,http://39.134.52.215/PLTV/88888888/224/3221227114/index.m3u8
咪咕16,http://39.134.52.215/PLTV/88888888/224/3221227116/index.m3u8
咪咕17,http://39.134.52.215/PLTV/88888888/224/3221227118/index.m3u8
咪咕18,http://39.134.52.215/PLTV/88888888/224/3221227120/index.m3u8
咪咕19,http://39.134.52.215/PLTV/88888888/224/3221227122/index.m3u8
咪咕20,http://39.134.52.215/PLTV/88888888/224/3221227124/index.m3u8


