温馨提示,#genre#
Now星影台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=v92ryC&tk=IaRTZBNZkJti
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=G5U37p&tk=IaRTZBNZkJti
美亚电影台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FpJBRi&tk=IaRTZBNZkJti
天映频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dYLMXk&tk=IaRTZBNZkJti
天映经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=F7A9vZ&tk=IaRTZBNZkJti
美亚电影(台湾),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=IVaEeF&tk=IaRTZBNZkJti
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Uosk5F&tk=IaRTZBNZkJti
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LBx3a5&tk=IaRTZBNZkJti
PopC电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FxCjSm&tk=IaRTZBNZkJti
东森电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=lcBSVn&tk=IaRTZBNZkJti
龙祥时代,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YEGfBs&tk=IaRTZBNZkJti
动物星球,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dQooOI&tk=IaRTZBNZkJti
华语剧台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OxNlnN&tk=IaRTZBNZkJti
亚洲剧台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yEhVK8&tk=IaRTZBNZkJti
黄金华剧台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rkTiih&tk=IaRTZBNZkJti
爱ANI,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zhfzYl&tk=IaRTZBNZkJti
千禧经典台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=90Qchb&tk=IaRTZBNZkJti
亚洲剧集台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GY0r2Y&tk=IaRTZBNZkJti
黄金翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=8pb6PS&tk=IaRTZBNZkJti
TVB戏曲台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=4Tu1vM&tk=IaRTZBNZkJti
天映经典台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=382nlv&tk=IaRTZBNZkJti
88跑马台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=P7RrMU&tk=IaRTZBNZkJti
美亚电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9BOqkX&tk=IaRTZBNZkJti
AXN电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HmtdHG&tk=IaRTZBNZkJti
ROCK综艺,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6DZK8b&tk=IaRTZBNZkJti
中视新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=7iUri0&tk=IaRTZBNZkJti
中天新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fd6hI7&tk=IaRTZBNZkJti
TVBS HD,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OXoZ9V&tk=IaRTZBNZkJti
寰宇新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=8Z5JXe&tk=IaRTZBNZkJti
寰宇台湾台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=1clxDn&tk=IaRTZBNZkJti
东森新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nkaRgE&tk=IaRTZBNZkJti
东森财经台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=xclZck&tk=IaRTZBNZkJti
民视综艺台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=qmfKCe&tk=IaRTZBNZkJti
猪哥亮歌厅秀,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=kBaFCe&tk=IaRTZBNZkJti
中视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ldxFcB&tk=IaRTZBNZkJti
中视新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=tB3RGY&tk=IaRTZBNZkJti
中视经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=x7eFFp&tk=IaRTZBNZkJti
中视菁采,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dDcVXj&tk=IaRTZBNZkJti
台视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fFwaCY&tk=IaRTZBNZkJti
台视新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=X2hWM0&tk=IaRTZBNZkJti
台视综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5yW9Kf&tk=IaRTZBNZkJti
台视财经,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nRbBTN&tk=IaRTZBNZkJti
华视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XetPZd&tk=IaRTZBNZkJti
华视新闻资讯,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=icXUR6&tk=IaRTZBNZkJti
华视教育体育文化,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=z3VNL9&tk=IaRTZBNZkJti
民视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=4dmDLB&tk=IaRTZBNZkJti
民视新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=VCKkC6&tk=IaRTZBNZkJti
民视台湾台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=K40h7R&tk=IaRTZBNZkJti
民视第一台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fsSarq&tk=IaRTZBNZkJti
公视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wtIry4&tk=IaRTZBNZkJti
公视台语台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XGseeg&tk=IaRTZBNZkJti
小公视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=aV3Ueq&tk=IaRTZBNZkJti
港台频道,#genre#
凤凰中文台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=c1Ze9v&tk=IaRTZBNZkJti
凤凰资讯台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZODaRO&tk=IaRTZBNZkJti
凤凰香港台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=hxmW6M&tk=IaRTZBNZkJti
港台電視 31,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=cyaauk&tk=IaRTZBNZkJti
翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=C8GNyX&tk=IaRTZBNZkJti
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=lnENiX&tk=IaRTZBNZkJti
無綫新聞台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=poEpSb&tk=IaRTZBNZkJti
明珠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ekcTaE&tk=IaRTZBNZkJti
HOY 國際財經台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QWWtnc&tk=IaRTZBNZkJti
HOY TV,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=d3DOW5&tk=IaRTZBNZkJti
HOY 資訊台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vTT1OY&tk=IaRTZBNZkJti
ViuTVsix,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rFurVx&tk=IaRTZBNZkJti
ViuTV,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=m60Cav&tk=IaRTZBNZkJti
Now直播台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ATgg5h&tk=IaRTZBNZkJti
Now新聞台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=NKqtlf&tk=IaRTZBNZkJti
Now財經台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MVa7qH&tk=IaRTZBNZkJti
NowSports,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YPISjm&tk=IaRTZBNZkJti
香港卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yBYc9j&tk=IaRTZBNZkJti
莲花卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=IPAWkN&tk=IaRTZBNZkJti
环球电视台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=mH29ZR&tk=IaRTZBNZkJti
香港环球卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=q0wBWZ&tk=IaRTZBNZkJti
亚洲卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=RDbrwo&tk=IaRTZBNZkJti
亚太第一卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=uECWAt&tk=IaRTZBNZkJti
华文卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=7Ej9aK&tk=IaRTZBNZkJti
1905电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=NFkDdp&tk=IaRTZBNZkJti
重温经典频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OR5upW&tk=IaRTZBNZkJti
Y+剧场,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yxGF79&tk=IaRTZBNZkJti
JULI,#genre#
翡翠台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=f92PXx&tk=IaRTZBNZkJti
翡翠台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=VHcaJn&tk=IaRTZBNZkJti
无线新闻台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=jRvfrJ&tk=IaRTZBNZkJti
明珠台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zDIbss&tk=IaRTZBNZkJti
TVB PLUS_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Fi1kpR&tk=IaRTZBNZkJti
ViuTV_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=x5ddqq&tk=IaRTZBNZkJti
ViuTVSix_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=aPX3iN&tk=IaRTZBNZkJti
HOY资讯台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=J6e9N4&tk=IaRTZBNZkJti
TVB星河_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=qEAjk5&tk=IaRTZBNZkJti
华丽翡翠台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=a5R9lm&tk=IaRTZBNZkJti
千禧经典台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9NCjOI&tk=IaRTZBNZkJti
TVB娱乐新闻台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fpIG1a&tk=IaRTZBNZkJti
天映频道_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5yxKQi&tk=IaRTZBNZkJti
天映经典_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=aJFPdv&tk=IaRTZBNZkJti
爱奇艺_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yc2YvJ&tk=IaRTZBNZkJti
八度空间_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=1rLKNE&tk=IaRTZBNZkJti
Astro欢喜台_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6syHOW&tk=IaRTZBNZkJti
Astro AOD_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=BmeURE&tk=IaRTZBNZkJti
Astro AEC_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=629P4l&tk=IaRTZBNZkJti
Astro QJ_SMT,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rcy05R&tk=IaRTZBNZkJti
龙华电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eXEhjW&tk=IaRTZBNZkJti
龙华经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=y5AldV&tk=IaRTZBNZkJti
龙华卡通,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GEhzLs&tk=IaRTZBNZkJti
龙华偶像,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TItYir&tk=IaRTZBNZkJti
龙华日韩,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zMdUGc&tk=IaRTZBNZkJti
龙华戏剧,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=BZ6ZaY&tk=IaRTZBNZkJti
龙华洋片,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FNKwtE&tk=IaRTZBNZkJti
央视频道,#genre#
CCTV1,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=cozG0r&tk=IaRTZBNZkJti
CCTV2,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yZfr9W&tk=IaRTZBNZkJti
CCTV3,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=t5eZMs&tk=IaRTZBNZkJti
CCTV4,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pcm3mG&tk=IaRTZBNZkJti
CCTV5,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=NHIG5V&tk=IaRTZBNZkJti
CCTV6,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3TybfE&tk=IaRTZBNZkJti
CCTV7,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MSCrAY&tk=IaRTZBNZkJti
CCTV8,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MiCJ7a&tk=IaRTZBNZkJti
CCTV9,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HBVOzj&tk=IaRTZBNZkJti
CCTV10,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=kLyqQL&tk=IaRTZBNZkJti
CCTV11,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zrOpqW&tk=IaRTZBNZkJti
CCTV12,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=40gpUc&tk=IaRTZBNZkJti
CCTV13,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eWGCU3&tk=IaRTZBNZkJti
CCTV14,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rSteyT&tk=IaRTZBNZkJti
CCTV15,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=jqjoLz&tk=IaRTZBNZkJti
CCTV16,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=IHVXJX&tk=IaRTZBNZkJti
卫视频道,#genre#
广西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZMTJey&tk=IaRTZBNZkJti
海南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HYtTCo&tk=IaRTZBNZkJti
河南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=V15MvI&tk=IaRTZBNZkJti
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=M7JJjo&tk=IaRTZBNZkJti
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CFJo9k&tk=IaRTZBNZkJti
怀旧剧场,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=RBnzvs&tk=IaRTZBNZkJti
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GVlVHb&tk=IaRTZBNZkJti
数字电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LG4Vts&tk=IaRTZBNZkJti
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nw7Om1&tk=IaRTZBNZkJti
四川卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rVD037&tk=IaRTZBNZkJti
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=iMJFOu&tk=IaRTZBNZkJti
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=BHajqp&tk=IaRTZBNZkJti
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=kQtuMr&tk=IaRTZBNZkJti
东方卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=PV9vMi&tk=IaRTZBNZkJti
北京卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=KG8lQG&tk=IaRTZBNZkJti
江西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LHzi44&tk=IaRTZBNZkJti
山东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=mUEVVC&tk=IaRTZBNZkJti
安徽卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MTn1Q8&tk=IaRTZBNZkJti
天津卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=T84XYF&tk=IaRTZBNZkJti
贵州卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zC2xQv&tk=IaRTZBNZkJti
河北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pLb4K7&tk=IaRTZBNZkJti
山西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dcFIhx&tk=IaRTZBNZkJti
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FhNHLI&tk=IaRTZBNZkJti
内蒙古卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=F2Mb2Z&tk=IaRTZBNZkJti
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nL0j5v&tk=IaRTZBNZkJti
西藏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LnF1ot&tk=IaRTZBNZkJti
新疆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TgUKgU&tk=IaRTZBNZkJti
云南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=U8elj9&tk=IaRTZBNZkJti
宁夏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=KsZDAy&tk=IaRTZBNZkJti
甘肃卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=51e0PO&tk=IaRTZBNZkJti
东南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vv1aJY&tk=IaRTZBNZkJti
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Y8p7yQ&tk=IaRTZBNZkJti
广东频道,#genre#
广东大湾区,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YxloEm&tk=IaRTZBNZkJti
广东民生,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=DtGw2m&tk=IaRTZBNZkJti
广东戏曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LgpHlu&tk=IaRTZBNZkJti
广东少儿,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=H5opiy&tk=IaRTZBNZkJti
广东体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=93L9lT&tk=IaRTZBNZkJti
广东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=tut2eJ&tk=IaRTZBNZkJti
广东新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZOAMHg&tk=IaRTZBNZkJti
广东影视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZKQd76&tk=IaRTZBNZkJti
广东珠江,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vkgioN&tk=IaRTZBNZkJti
广东经济,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=tJNPJ0&tk=IaRTZBNZkJti
深圳都市,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vSkN2z&tk=IaRTZBNZkJti
汕头新闻综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=SgsbPP&tk=IaRTZBNZkJti
汕头经济生活,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=E4RPXP&tk=IaRTZBNZkJti
CHC家庭电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zdWFIw&tk=IaRTZBNZkJti
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yzJqJE&tk=IaRTZBNZkJti
潮州综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=NO7RJo&tk=IaRTZBNZkJti
揭阳综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Fhnfco&tk=IaRTZBNZkJti
央视,#genre#
CCTV1综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9RlP91&tk=IaRTZBNZkJti
CCTV2财经,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=tDpmz8&tk=IaRTZBNZkJti
CCTV3综艺,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=NgMiBF&tk=IaRTZBNZkJti
CCTV4中文国际,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=H7Jxtn&tk=IaRTZBNZkJti
CCTV5体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pdHWZX&tk=IaRTZBNZkJti
CCTV5+体育赛事,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wJzC08&tk=IaRTZBNZkJti
CCTV6电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=673R8u&tk=IaRTZBNZkJti
CCTV7国防军事,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=iY5TPA&tk=IaRTZBNZkJti
CCTV8电视剧,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MvASrs&tk=IaRTZBNZkJti
CCTV9纪录,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=JCrlc1&tk=IaRTZBNZkJti
CCTV10科教,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=npIfNZ&tk=IaRTZBNZkJti
CCTV11戏曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OZNmA8&tk=IaRTZBNZkJti
CCTV12社会与法,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=UiUqGL&tk=IaRTZBNZkJti
CCTV13新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gbpWjo&tk=IaRTZBNZkJti
CCTV14少儿,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=EyWKHg&tk=IaRTZBNZkJti
CCTV15音乐,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=V7X58X&tk=IaRTZBNZkJti
CCTV17农业农村,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fF3X7y&tk=IaRTZBNZkJti
CCTV4欧洲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QssZGU&tk=IaRTZBNZkJti
CCTV4美洲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zMK3PX&tk=IaRTZBNZkJti
CGTN外语纪录,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=tCMxy3&tk=IaRTZBNZkJti
CGTN阿拉伯语,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=V8O9Ef&tk=IaRTZBNZkJti
CGTN西班牙语,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fINpKc&tk=IaRTZBNZkJti
CGTN法语,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TJNzM8&tk=IaRTZBNZkJti
CGTN俄语,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wfq4kz&tk=IaRTZBNZkJti
老故事,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XnHCCz&tk=IaRTZBNZkJti
发现之旅,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wYA0h2&tk=IaRTZBNZkJti
中学生,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZD304Q&tk=IaRTZBNZkJti
CGTN,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rJnmVr&tk=IaRTZBNZkJti
体育,#genre#
赛事最经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Da7CxU&tk=IaRTZBNZkJti
体坛名栏汇,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Oia2q6&tk=IaRTZBNZkJti
四海钓鱼,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=lWLSvs&tk=IaRTZBNZkJti
陕西体育休闲频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=KnFl88&tk=IaRTZBNZkJti
武术世界,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Cgbv6f&tk=IaRTZBNZkJti
快乐垂钓,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=L677LX&tk=IaRTZBNZkJti
辽宁广播电视台体育休闲频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HpWAtB&tk=IaRTZBNZkJti
卫视,#genre#
东方卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ONEao0&tk=IaRTZBNZkJti
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dVo9ga&tk=IaRTZBNZkJti
广东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QKvshQ&tk=IaRTZBNZkJti
北京卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=E2GL95&tk=IaRTZBNZkJti
辽宁卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=L3xoWS&tk=IaRTZBNZkJti
