电影综合,#genre#
刘德华电影2,http://159.75.85.63:35455/douyu/8985415
电影_发哥,http://124.248.69.76:35455/huya/11342387
电影_王晶,http://124.248.69.76:35455/huya/11602058
电影_许冠英,http://124.248.69.76:35455/huya/11601972
电影_甄子丹,http://124.248.69.76:35455/huya/11352935
电影_斯坦森,http://124.248.69.76:35455/huya/21059588
电影_灾难片,http://124.248.69.76:35455/huya/11602075
电影_古装片,http://124.248.69.76:35455/huya/11336590
电影_高分动作,http://124.248.69.76:35455/huya/11352884
电影_怪兽系列,http://124.248.69.76:35455/huya/21059554

剧集综合,#genre#
与凤行电视剧,http://159.75.85.63:35455/huya/26355866#http://cfss.cc/cdn/hy/26355866.m3u8
庆余年,http://1.94.31.214:35455/huya/11352960
士兵突击,http://43.138.170.29:35455/yy/1382828766
士兵突击,http://1.94.31.214:35455/huya/11342430
士兵突击,http://120.77.28.4:8648/yy.php?id=1382828766
狂飙,http://43.138.170.29:35455/yy/14072363
狂飙,http://1.94.31.214:35455/yy/1355142167
狂飙,http://120.77.28.4:8648/yy.php?id=1354790484
勇敢的心,http://43.138.170.29:35455/yy/1354792480
大江大河,http://120.77.28.4:8648/yy.php?id=1382736806
大江大河2,http://43.138.170.29:35455/yy/1382736797
白夜追凶第一季,http://43.138.170.29:35455/yy/1354932359
白鹿原,http://43.138.170.29:35455/yy/1451064143
神雕侠侣,http://1.94.31.214:35455/huya/11352964
神雕侠侣,http://1.94.31.214:35455/huya/23865171
神雕侠侣,http://120.77.28.4:8648/yy.php?id=1382704651
倚天屠龙记,http://1.94.31.214:35455/huya/11342403
倚天屠龙记,http://1.94.31.214:35455/huya/23734246
倚天屠龙记,http://120.77.28.4:8648/yy.php?id=1449856066
雪中悍刀行,http://120.77.28.4:8648/yy.php?id=1382660835
天龙八部,http://8.218.190.107:80/yy/1351814644
笑傲江湖,http://8.218.190.107:80/yy/1355067965
寻秦记,http://1.94.31.214:35455/huya/29465848
寻秦记,http://120.77.28.4:8648/yy.php?id=1382749900
封神榜,http://8.218.190.107:80/yy/1353426319
新白娘子传奇,http://8.218.190.107:80/yy/1354490667
钟馗传说,http://120.77.28.4:8648/yy.php?id=1382736839
宝莲灯前传,http://120.77.28.4:8648/yy.php?id=1354931631
父母爱情,http://120.77.28.4:8648/yy.php?id=1354926650
红楼梦,http://120.77.28.4:8648/yy.php?id=1382745084
少年包青天,http://120.77.28.4:8648/yy.php?id=38498680
宰相刘罗锅,http://120.77.28.4:8648/yy.php?id=1382745191
神医喜来乐,http://120.77.28.4:8648/yy.php?id=1382714119
伪装者,http://1.94.31.214:35455/yy/1354936244
伪装者,http://120.77.28.4:8648/yy.php?id=1382851593
神探狄仁杰,http://120.77.28.4:8648/yy.php?id=1382705592
隋唐英雄传,http://1.94.31.214:35455/yy/1352475619
隋唐英雄传,http://120.77.28.4:8648/yy.php?id=1352475619
陈情令,http://182.40.120.195/test-txdwk.flv.huya.com/src/1239543150218-1239543150218-11134998938774405120-2479086423892-10057-A-0-1.m3u8
金装四大才子,http://120.77.28.4:8648/yy.php?id=1354926600
公主嫁到,http://120.77.28.4:8648/yy.php?id=1382736915
耀舞长安,http://120.77.28.4:8648/yy.php?id=1382741640
宫心计,http://120.77.28.4:8648/yy.php?id=1354932429
宫心计,http://43.138.170.29:35455/yy/1354933540
宫心计,http://alist.xicp.fun:35455/yy/1354933540#http://43.138.170.29:35455/yy/1354933540
上海滩,http://8.218.190.107:80/yy/1382745184
大时代,http://1.94.31.214:35455/huya/23865161
大时代,http://120.77.28.4:8648/yy.php?id=1354930891
法证先锋,http://120.77.28.4:8648/yy.php?id=1382736802
陀枪师姐,http://1.94.31.214:35455/huya/29465857
放羊的星星,http://120.77.28.4:8648/yy.php?id=1355260662
天道,http://120.77.28.4:8648/yy.php?id=1382735574
平凡岁月,http://120.77.28.4:8648/yy.php?id=1382745117
苦乐村官,http://120.77.28.4:8648/yy.php?id=1382736864
灌篮高手,http://1.94.31.214:35455/yy/1382735626
武林外传,http://120.77.28.4:8648/yy.php?id=1394000563
爱情公寓,http://182.40.120.195/test-txdwk.flv.huya.com/src/1388474069-1388474069-5963450717699047424-2777071594-10057-A-0-1.m3u8
康熙微服私访记,http://120.77.28.4:8648/yy.php?id=1352811698
正阳门下,http://120.77.28.4:8648/yy.php?id=1354931580
我的前半生,http://120.77.28.4:8648/yy.php?id=1382735564
济公游记,http://alist.xicp.fun:35455/yy/1355265814#http://43.138.170.29:35455/yy/1355265814
我爱我家,http://120.77.28.4:8648/yy.php?id=1382735557
金婚,http://120.77.28.4:8648/yy.php?id=1382828768
情满四合院,http://120.77.28.4:8648/yy.php?id=1382736888
康熙王朝,http://1.94.31.214:35455/huya/11352940
新三国,http://182.40.120.195/test-txdwk.flv.huya.com/src/1423787831-1423787831-6115122170587774976-2847699118-10057-A-0-1.m3u8
大明王朝,http://120.77.28.4:8648/yy.php?id=1382736879
黑冰,http://120.77.28.4:8648/yy.php?id=1354932427
天下第一,http://120.77.28.4:8648/yy.php?id=1382736838
来自星星的你,http://120.77.28.4:8648/yy.php?id=1354930976
大唐双龙传,http://1.94.31.214:35455/huya/23728674
96笑傲江湖粤,http://81.70.10.196:35455/douyu/8912325
欢乐颂电视剧,http://81.70.10.196:35455/douyu/3756989
少年包青天第一部,http://1.94.31.214:35455/yy/1356043677
少年包青天第三部,http://1.94.31.214:35455/yy/1382736814
神探狄仁杰第一部,http://182.40.120.195/test-txdwk.flv.huya.com/src/1423787855-1423787855-6115122273666990080-2847699166-10057-A-0-1.m3u8
神探狄仁杰第二部,http://1.94.31.214:35455/yy/1382851146
神探狄仁杰第三部,http://182.40.120.195/test-txdwk.flv.huya.com/src/1394575548-1394575548-5989656370461278208-2789274552-10057-A-0-1.m3u8
95神雕侠侣粤,http://159.75.85.63:35455/yy/1354926637
87经典红楼梦,http://159.75.85.63:35455/yy/1382745084
欢乐颂电视剧,http://159.75.85.63:35455/douyu/3756989
我的前半生剧,http://159.75.85.63:35455/yy/1382735564
伪装者电视剧,http://159.75.85.63:35455/yy/1354936244
宝莲灯前传HY,http://1.94.31.214:35455/huya/21059563
封神榜陈浩民版,http://1.94.31.214:35455/huya/23749096

北京综合,#genre#
北京新闻,http://8.138.7.223/tv/bj.php?id=0007
北京生活,http://8.138.7.223/tv/bj.php?id=0006
北京科教,http://171.110.42.239:8181/tsfile/live/1030_1.m3u8
北京科教,http://222.217.230.192:8181/tsfile/live/1030_1.m3u8
北京科教,http://222.217.230.193:8181/tsfile/live/1030_1.m3u8
北京科教,http://222.217.230.195:8181/tsfile/live/1030_1.m3u8
北京财经,http://8.138.7.223/tv/bj.php?id=0005
北京国际,http://114.105.187.147:9901/tsfile/live/0110_1.m3u8
北京少儿,http://119.32.12.17:2901/udp/225.1.101.149:7523
北京卡酷少儿,http://39.135.138.58:18890/PLTV/88888888/224/3221225677/index.m3u8
北京卡酷少儿,http://8.218.124.113:5000/TVOD/6000000003000002709/wasusyt/index.m3u8
北京卡酷少儿,http://189.1.219.223:35455/itv/5000000011000265008.m3u8?cdn=bestzb
北京卡酷少儿,http://116.235.57.41:4022/rtp/239.45.0.8:5140
北京卡酷少儿,http://180.165.13.71:4022/rtp/239.45.0.8:5140
北京卡酷少儿,http://180.165.18.212:9898/rtp/239.45.0.8:5140
北京卡酷少儿,http://180.165.20.28:4022/rtp/239.45.0.8:5140
北京卡酷少儿,http://180.165.31.131:4022/rtp/239.45.0.8:5140
北京卡酷少儿,http://223.167.230.34:4022/rtp/239.45.0.8:5140
北京卡酷少儿,http://223.167.245.215:8001/rtp/239.45.0.8:5140
热播剧场,http://171.108.239.79:8181/tsfile/live/1020_1.m3u8
热播剧场,http://123.118.56.163:8686/rtp/239.3.1.194:9020
热播剧场,http://123.112.156.41:4022/rtp/239.3.1.194:9020
热播剧场,http://115.48.61.41:9901/tsfile/live/0111_1.m3u8
热播剧场,http://115.48.62.82:9901/tsfile/live/0111_1.m3u8
热播剧场,http://115.48.63.221:9901/tsfile/live/0111_1.m3u8
热播剧场,http://115.48.63.125:9901/tsfile/live/0111_1.m3u8
热播剧场,http://115.48.62.70:9901/tsfile/live/0111_1.m3u8
热播剧场,http://115.48.63.37:9901/tsfile/live/0111_1.m3u8
魅力时尚,http://123.118.56.163:8686/rtp/239.3.1.196:9012
魅力时尚,http://123.112.156.41:4022/rtp/239.3.1.196:9012
军旅剧场,http://39.134.65.76/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
军旅剧场,http://146.235.213.45:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
军旅剧场,http://123.118.56.163:8686/rtp/239.3.1.68:4120
军旅剧场,http://123.112.156.41:4022/rtp/239.3.1.68:4120
军旅剧场,http://111.43.126.240:9003/hls/82/index.m3u8
古装剧场,http://39.134.65.73/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
古装剧场,http://146.235.213.45:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
古装剧场,http://123.118.56.163:8686/rtp/239.3.1.69:4120
古装剧场,http://123.112.156.41:4022/rtp/239.3.1.69:4120
古装剧场,http://111.43.126.240:9003/hls/81/index.m3u8
延庆电视台,http://123.118.56.163:8686/rtp/239.3.1.187:8001
延庆电视台,http://123.112.156.41:4022/rtp/239.3.1.187:8001
昌平,http://61.50.142.158/live/0.m3u8
NewTV古装剧场,http://39.135.138.58:18890/PLTV/88888888/224/3221225678/index.m3u8
NewTV军旅剧场,http://39.135.138.58:18890/PLTV/88888888/224/3221225669/index.m3u8

浙江综合,#genre#
浙江钱江,http://60.178.149.113:4022/udp/233.50.201.132:5140
浙江钱江台,http://120.55.49.231:3095/rtp/233.50.201.132:5140
浙江教育,http://60.178.149.113:4022/udp/233.50.201.134:5140
浙江教育,http://120.55.49.231:3095/rtp/233.50.201.134:5140
浙江民生,http://60.178.149.113:4022/udp/233.50.201.136:5140
浙江新闻,http://60.178.149.113:4022/udp/233.50.201.137:5140
浙江新闻,http://101.66.199.75:9901/tsfile/live/1005_1.m3u8
浙江新闻,http://183.136.148.214:9901/tsfile/live/1011_1.m3u8
浙江新闻,http://120.55.49.231:3095/rtp/233.50.201.137:5140
浙江新闻,http://101.66.195.169:9901/tsfile/live/1005_1.m3u8
杭州明珠,http://60.178.149.113:4022/udp/233.50.201.174:5140
杭州明珠,http://120.55.49.231:3095/rtp/233.50.201.174:5140
杭州生活,http://60.178.149.113:4022/udp/233.50.201.175:5140
杭州生活,http://120.55.49.231:3095/rtp/233.50.201.175:5140
杭州影视,http://60.178.149.113:4022/udp/233.50.201.176:5140
杭州影视,http://101.66.199.75:9901/tsfile/live/1011_1.m3u8
杭州影视,http://120.55.49.231:3095/rtp/233.50.201.176:5140
杭州影视,http://101.66.195.169:9901/tsfile/live/1011_1.m3u8
杭州青少,http://60.178.149.113:4022/udp/233.50.201.177:5140
杭州青少,http://120.55.49.231:3095/rtp/233.50.201.177:5140
杭州导视,http://60.178.149.113:4022/udp/233.50.201.182:5140
杭州导视,http://120.55.49.231:3095/rtp/233.50.201.182:5140
浙江经济,http://60.178.149.113:4022/udp/233.50.201.133:5140
之江纪录,http://60.178.149.113:4022/udp/233.50.202.25:5140
之江纪录,http://120.55.49.231:3095/rtp/233.50.202.25:5140
丽水新闻,http://60.178.149.113:4022/udp/233.50.201.162:5140
丽水新闻,http://120.55.49.231:3095/rtp/233.50.201.162:5140
衢州公共,http://60.178.149.113:4022/udp/233.50.202.12:5140
衢州公共,http://120.55.49.231:3095/rtp/233.50.202.12:5140
浙江经视,http://183.136.148.214:9901/tsfile/live/1008_1.m3u8
浙江民生休闲,http://120.55.49.231:3095/rtp/233.50.201.136:5140
绍兴新闻,http://60.178.149.113:4022/udp/233.50.201.156:5140
民生休闲,http://183.136.148.214:9901/tsfile/live/1010_1.m3u8
快乐垂钓,http://119.32.12.17:2901/udp/225.1.101.54:7523
快乐垂钓,http://123.118.56.163:8686/rtp/239.3.1.164:8001
快乐垂钓,http://123.112.156.41:4022/rtp/239.3.1.164:8001
快乐垂钓,http://1.197.127.114:10443/tsfile/live/1068_1.m3u8
快乐垂钓,http://180.213.174.225:9901/tsfile/live/1028_1.m3u8
快乐垂钓,http://121.29.141.15:4022/rtp/239.253.93.213:6391
快乐垂钓,http://124.231.212.230:9999/tsfile/live/1116_1.m3u8
快乐垂钓,http://223.166.234.114:7777/tsfile/live/1048_1.m3u8
江津经济生活,http://222.179.155.21:1935/ch0.m3u8
涿州新闻频道,http://121.18.115.162:8082/live/ch3.m3u8
海口新闻频道,http://183.255.46.4:16080/live/tv1001.m3u8
徐州经济生活_(1080p),http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221225947/index.m3u8
安徽经济生活,http://43.129.81.169/live.ahsx.ahtv.cn/live/jjshtv.m3u8
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8?zanhd=
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959.flv
江夏经济生活,http://59.175.226.142:280/gb28181/jjsh.m3u8
BTV国际频道,http://123.118.56.163:8686/rtp/239.3.1.235:8000
BTV国际频道,http://123.112.156.41:4022/rtp/239.3.1.235:8000
兵团八师石河子经济生活,http://124.88.144.73:1935/live/dywt/playlist.m3u8?zxinjd=
石河子经济生活,http://124.88.144.73:1935/live/dywt/playlist.m3u8
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8#http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8?zanhd#http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959.flv
河北经济生活,http://121.29.141.15:4022/rtp/239.253.92.171:6001
临城新闻频道,http://121.29.141.15:4022/rtp/239.253.93.167:6335
沧州影视娱乐,http://121.29.141.15:4022/rtp/239.253.92.123:6017
南京新闻频道,http://159.75.85.63:36666/migu/838109047.m3u8?migutoken=6d02ada5111e1c242367924a186dee61e71153e27ff05ebf483408afbade7e1a42aadf6ff4dbfa577fb3b1b9f56f3df70b3144f1cbdb84d2bdbc19a9d15527ea8d42c658757d9521fe391f0f11
公共新闻频道,http://159.75.85.63:36666/migu/626064693.m3u8?migutoken=fd16cefb60fe4f64a100345ab24c539d6449858357c41dec5b1a2ae71a7ced1b466941e25258632ea8c84657a68a0f0c21fb88db6cb5dce0689f0ce9ff2a0a7a41944017300e8643b8b0f89c1c
内蒙古经济生活,http://221.199.193.47:9901/tsfile/live/1007_1.m3u8
深圳少儿频道,http://119.131.24.84:9003/udp/239.77.1.38:5146
深圳少儿频道,http://119.131.24.84:9003/udp/239.77.1.244:5146
汕头经济生活,http://119.131.24.84:9003/udp/239.253.43.43:5146
汕头经济生活,http://119.131.24.84:9003/udp/239.77.1.131:5146
汕头经济生活,http://119.131.24.84:9003/udp/239.253.43.46:5146

江苏综合,#genre#
江苏综艺,http://8.138.7.223/tv/jstv.php?id=jszy
江苏综艺,http://58.221.214.82:9901/tsfile/live/0005_2.m3u8
江苏体育休闲,http://58.221.214.82:9901/tsfile/live/0006_2.m3u8
江苏公共新闻,http://58.221.214.82:9901/tsfile/live/0009_2.m3u8
江苏影视,http://8.138.7.223/tv/jstv.php?id=jsys
江苏影视,http://221.226.215.162:352/tsfile/live/0109_1.m3u8
江苏影视,http://58.221.214.82:9901/tsfile/live/0007_2.m3u8
江苏城市,http://8.138.7.223/tv/jstv.php?id=jscs
江苏城市,http://221.226.215.162:352/tsfile/live/0120_3.m3u8
江苏城市,http://58.213.65.146:352/tsfile/live/0120_3.m3u8
江苏城市,http://58.210.168.86:10800/newlive/live/hls/52/live.m3u8
江苏城市,http://58.220.219.14:9901/tsfile/live/0120_3.m3u8
江苏城市,http://58.221.214.82:9901/tsfile/live/0004_2.m3u8
江苏国际,http://8.138.7.223/tv/jstv.php?id=jsgj
江苏国际,http://159.75.85.63:36666/migu/626064674.m3u8?migutoken=e5cdbc320181be4ffc1b1250a5756934063a7c12884680b1a3d2c45216d781a128fc9fc308d44aa5dc05a038e28b483dcb6e48403cb6fd3d715c314da05de3bb20ba3cda346d569e4d0765c199
江苏国际,http://114.105.187.147:9901/tsfile/live/1018_1.m3u8
南京教科,http://8.138.7.223/tv/migu3.php?id=njkj
南京少儿,http://221.226.51.220:50080/newlive/live/hls/46/live.m3u8
苏州新闻,http://8.138.7.223/tv/migu3.php?id=szxwzh
睢宁三农,http://221.229.243.45:9001/hls/live/live3/stream.m3u8
睢宁资讯,http://221.229.243.45:9001/hls/live/live4/stream.m3u8
江苏新闻,http://8.138.7.223/tv/jstv.php?id=jsxw
江苏教育,http://8.138.7.223/tv/jstv.php?id=jsjy
江苏教育,http://58.221.214.82:9901/tsfile/live/0012_2.m3u8
江苏教育,http://159.75.85.63:36666/migu/628008321.m3u8?migutoken=48117648320d08f36b38555b8e30241ee1809f729b3a1288811d790a1e8ce7c94bbef45d14a861b2d6b4d900f9d3d832944619aeaf3256b4df3c947b08facf86597c36d10009330d28bfb4639c
好享购物,http://58.221.214.82:9901/tsfile/live/0011_2.m3u8
常州都市,http://117.72.68.25:9930/cztv.php?id=czds
江苏城市_(576p),http://183.207.248.71/gitv/live1/G_JSCS/G_JSCS
江苏综艺_(576p)_[Not_24/7],http://183.207.248.71/gitv/live1/G_JSZY/G_JSZY
江苏影视_(576p)_[Not_24/7],http://183.207.248.71/gitv/live1/G_JSYS/G_JSYS
江苏教育_(576p)_[Not_24/7],http://183.207.248.71/gitv/live1/G_JSJY/G_JSJY
南京教科频道,http://159.75.85.63:36666/migu/838153729.m3u8?migutoken=39a3785d44d4e1b084ec90acb28bc3e31ac53c5773ab61e302e0ac58e0fc0b3961467231d04119281c61f1871cc5e3e1dd8eb443b5e3f60768fcf9764f3e1d1d495be42592b24958fc5632203d
南京十八频道,http://159.75.85.63:36666/migu/838151753.m3u8?migutoken=2dc875d41fe191848137e116ce726d9aa700e19f657a047e41f1febf49c686826fa997d5121ee174f7180029c2d7aaa1b815e0c9397b63e91c39ae846487380997cfeb174a668300939a61d5ac
江苏城市频道,http://159.75.85.63:36666/migu/626064714.m3u8?migutoken=d3c94b0196507d8428655f70670af2c6ea45199f9498903c5d6debc0584d9de27542068fa7b88633308355101d6bb912e3d2887728edbe6d4b6474df5eae9dc7afffa0f8aef7ac904ae2e25055
江苏影视频道,http://159.75.85.63:36666/migu/626064697.m3u8?migutoken=ae74e65a68b96dba3290d052c5c03011aa51654de1ef85afd8786fddc87c6ac80aacd37d02ed7d9fae948fe16b32721c7bf2d77af3140fa5087227673c5d8976aadc1cfe65af98ce8e3edaa59e
江苏综艺频道,http://159.75.85.63:36666/migu/626065193.m3u8?migutoken=57a6600f561b12ce4315746648b6edc13d1a5ada2fa8d69191a04b023f75cd36e6096c53938b255454c9fcef2e120e171037e42aebf21e96e438af76164e98dd924557c0035d5de0e623d1ff28
南京十八 (576p),http://183.207.248.71/gitv/live1/G_NJSB/G_NJSB
南京教科 (576p),http://183.207.248.71/gitv/live1/G_NJJK/G_NJJK
南京教科 (576p),http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221227194/index.m3u8
宿迁公共 (480p),http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221226939/index.m3u8
徐州贾汪旅游 (576p),http://223.110.245.147/ott.js.chinamobile.com/PLTV/3/224/3221227389/index.m3u8
江苏城市 (576p),http://223.110.245.143/ott.js.chinamobile.com/PLTV/3/224/3221225929/index.m3u8
江苏影视 (576p),http://223.110.243.134/PLTV/4/224/3221225937/index.m3u8
江苏教育 (576p),http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225923/index.m3u8

河南综合,#genre#
河南都市,http://1.94.31.214/php/hntv.php?id=hnds
河南都市,http://1.198.67.187:9901/tsfile/live/1001_1.m3u8
河南都市,http://1.195.111.251:11190/tsfile/live/1000_1.m3u8?
河南都市,http://1.197.127.114:10443/tsfile/live/0139_2.m3u8
河南都市,http://103.40.13.47:17393/api/token_test.php?id=%E6%B2%B3%E5%8D%97%E9%83%BD%E5%B8%82&user=eU4TnnRUFfPOR4Gf
河南都市,http://61.163.181.78:9901/tsfile/live/1004_1.m3u8
河南都市,http://182.117.198.1:9901/tsfile/live/1019_1.m3u8
河南都市,http://125.43.253.231:9901/tsfile/live/1001_1.m3u8
河南都市,http://115.48.62.82:9901/tsfile/live/1007_1.m3u8
河南都市,http://115.48.60.104:9901/tsfile/live/1007_1.m3u8
河南都市,http://115.48.61.111:9901/tsfile/live/1007_1.m3u8
河南都市,http://115.48.61.41:9901/tsfile/live/1007_1.m3u8
河南都市,http://115.48.62.70:9901/tsfile/live/1007_1.m3u8
河南都市,http://115.48.63.125:9901/tsfile/live/1007_1.m3u8
河南都市,http://115.48.63.37:9901/tsfile/live/1007_1.m3u8
河南都市,http://125.43.245.50:9901/tsfile/live/1001_1.m3u8
河南都市,http://115.48.63.221:9901/tsfile/live/1007_1.m3u8
河南民生,http://1.198.67.187:9901/tsfile/live/1002_1.m3u8
河南民生,http://1.197.127.114:10443/tsfile/live/0139_3.m3u8
河南民生,http://103.40.13.47:17393/api/token_test.php?id=%E6%B2%B3%E5%8D%97%E6%B0%91%E7%94%9F&user=eU4TnnRUFfPOR4Gf
河南民生,http://61.163.181.78:85/tsfile/live/1005_1.m3u8
河南民生,http://115.48.60.104:9901/tsfile/live/1008_1.m3u8
河南民生,http://182.117.198.1:9901/tsfile/live/1020_1.m3u8
河南民生,http://115.48.62.70:9901/tsfile/live/1008_1.m3u8
河南民生,http://115.48.62.82:9901/tsfile/live/1008_1.m3u8
河南民生,http://125.43.245.50:9901/tsfile/live/1002_1.m3u8
河南民生,http://115.48.63.37:9901/tsfile/live/1008_1.m3u8
河南民生,http://115.48.63.221:9901/tsfile/live/1008_1.m3u8
河南民生,http://125.43.241.34:9901/tsfile/live/1002_1.m3u8
河南民生,http://115.48.61.41:9901/tsfile/live/1008_1.m3u8
河南法治,http://218.29.55.44:808/hls/19/index.m3u8
河南电视剧,http://1.198.67.187:9901/tsfile/live/1004_1.m3u8
河南电视剧,http://218.29.55.44:808/hls/20/index.m3u8
河南电视剧,http://182.117.198.1:9901/tsfile/live/1022_1.m3u8
河南电视剧,http://115.48.60.104:9901/tsfile/live/1010_1.m3u8
河南电视剧,http://115.48.62.82:9901/tsfile/live/1010_1.m3u8
河南电视剧,http://115.48.63.125:9901/tsfile/live/1010_1.m3u8
河南电视剧,http://115.48.63.37:9901/tsfile/live/1010_1.m3u8
河南电视剧,http://115.48.61.41:9901/tsfile/live/1010_1.m3u8
河南电视剧,http://115.48.62.70:9901/tsfile/live/1010_1.m3u8
河南新闻,http://1.198.67.187:9901/tsfile/live/1005_1.m3u8
河南新闻,http://218.29.55.44:808/hls/21/index.m3u8
河南新闻,http://182.117.198.1:9901/tsfile/live/1023_1.m3u8
河南新闻,http://115.48.60.104:9901/tsfile/live/1011_1.m3u8
河南新闻,http://115.48.63.125:9901/tsfile/live/1011_1.m3u8
河南新闻,http://115.48.61.41:9901/tsfile/live/1011_1.m3u8
河南新闻,http://115.48.62.70:9901/tsfile/live/1011_1.m3u8
河南新闻,http://115.48.62.82:9901/tsfile/live/1011_1.m3u8
河南新闻,http://115.48.63.221:9901/tsfile/live/1011_1.m3u8
河南新闻,http://1.198.10.32:9901/tsfile/live/1006_1.m3u8
河南公共,http://1.198.67.187:9901/tsfile/live/1007_1.m3u8
河南公共,http://218.29.55.44:808/hls/22/index.m3u8
河南公共,http://182.117.198.1:9901/tsfile/live/1025_1.m3u8
河南公共,http://115.48.60.104:9901/tsfile/live/1012_1.m3u8
河南公共,http://115.48.61.41:9901/tsfile/live/1012_1.m3u8
河南公共,http://115.48.63.125:9901/tsfile/live/1012_1.m3u8
河南公共,http://115.48.62.82:9901/tsfile/live/1012_1.m3u8
河南公共,http://115.48.62.70:9901/tsfile/live/1012_1.m3u8
河南公共,http://115.48.63.221:9901/tsfile/live/1012_1.m3u8
