🕘️更新时间,#genre#
辽宁经济,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227322/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁经济,http://39.134.52.215/PLTV/88888888/224/3221226869/index.m3u8
辽宁经济,http://fuxin.yunjifei.top:999/tsfile/live/1008_1.m3u8
辽宁公共,http://mgtv.home.023646.xyz/14521452145214521452145214521/962045223
辽宁公共,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226766/index.m3u8
辽宁公共,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227224/index.m3u8
辽宁公共,http://39.134.52.215/wh7f454c46tw2979457474_-1257989757/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226766/index.m3u8?icpid=11&RTS=1668095262&from=26&ocs=2_39.134.52.208_80&hms_devid=1124&online=1668095262&vqe=3
辽宁公共,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227224/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁公共,http://39.134.52.215/PLTV/88888888/224/3221226528/index.m3u8
辽宁公共,http://fuxin.yunjifei.top:999/tsfile/live/1007_1.m3u8
辽宁移动电视,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226982/index.m3u8
辽宁移动电视,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227328/index.m3u8
辽宁移动电视,http://39.134.52.214/wh7f454c46tw168700798_418261007/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226982/index.m3u8?icpid=88888888&RTS=1668182646&from=26&ocs=2_39.134.52.224_80&hms_devid=1124&online=1668182646&vqe=3
辽宁移动电视,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227328/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁移动电视,http://39.134.52.215/PLTV/88888888/224/3221226867/index.m3u8
辽宁移动电视,http://39.134.52.215/PLTV/88888888/224/3221226717/index.m3u8
辽宁移动电视,http://fuxin.yunjifei.top:999/tsfile/live/1009_1.m3u8
辽宁北方,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226755/index.m3u8
辽宁北方,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227327/index.m3u8
辽宁北方,http://39.134.52.214/wh7f454c46tw2957728087_-2025531620/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226755/index.m3u8?icpid=11&RTS=1668095241&from=26&ocs=2_39.134.52.181_80&hms_devid=1124&online=1668095241&vqe=3
辽宁北方,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227327/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁北方,http://39.134.52.215/PLTV/88888888/224/3221226865/index.m3u8
辽宁北方,http://39.134.52.215/PLTV/88888888/224/3221226515/index.m3u8
辽宁北方,http://fuxin.yunjifei.top:999/tsfile/live/1006_1.m3u8
辽宁生活,http://mgtv.home.023646.xyz/14521452145214521452145214521/962045226
辽宁生活,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226761/index.m3u8
辽宁生活,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227319/index.m3u8
辽宁生活,http://39.134.52.214/wh7f454c46tw2934650362_574038897/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226761/index.m3u8?icpid=11&RTS=1668095217&from=26&ocs=2_39.134.52.175_80&hms_devid=1124&online=1668095217&vqe=3
辽宁生活,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227319/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁生活,http://39.134.52.215/PLTV/88888888/224/3221226918/index.m3u8
辽宁生活,http://fuxin.yunjifei.top:999/tsfile/live/1004_1.m3u8
辽宁教育青少,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226763/index.m3u8
辽宁教育青少,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227297/index.m3u8
辽宁教育青少,http://39.134.52.214/wh7f454c46tw3037964870_1864584140/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226763/index.m3u8?icpid=11&RTS=1668095321&from=26&ocs=2_39.134.52.207_80&hms_devid=1124&online=1668095321&vqe=3
辽宁教育青少,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227297/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
辽宁教育青少,http://39.134.52.215/PLTV/88888888/224/3221226863/index.m3u8
辽宁教育青少,http://fuxin.yunjifei.top:999/tsfile/live/1005_1.m3u8
辽宁丹东新闻,http://1866360232.cloudvdn.com/a.m3u8?domain=pili-live-hdl-zhdd-tv.ddrtv.cn&player=1&streamid=zhdd-tv%3Azhdd-tv%2Fddnews&v3=1
辽宁沈阳新闻,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226895/index.m3u8
辽宁沈阳新闻,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227315/index.m3u8
辽宁沈阳新闻,http://39.134.52.215/wh7f454c46tw3931769456_1868693043/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226895/index.m3u8?icpid=11&RTS=1668091920&from=26&ocs=2_39.134.52.170_80&hms_devid=1124&online=1668091920&vqe=3
辽宁沈阳新闻,http://39.134.52.215/PLTV/88888888/224/3221226924/index.m3u8
辽宁沈阳新闻,http://39.134.52.215/PLTV/88888888/224/3221226593/index.m3u8
大连新闻综合,rtmp://secret.dltv.cn/dreamStreamCore/tcb3IB5/lv500
大连生活,rtmp://secret.dltv.cn/dreamStreamCore/JzcFkF4/lv500
大连文体,rtmp://secret.dltv.cn/dreamStreamCore/hxT7Fc3/lv500
金普新闻综合,http://tv.sohu.blog/d/gdy.php?id=jptv1
金普生活服务,http://tv.sohu.blog/d/gdy.php?id=jptv2
锦州新闻综合,http://srs.beijihainews.com.cn/video/jinzhou1/index.m3u8
锦州教育,http://srs.beijihainews.com.cn/video/jinzhou2/index.m3u8
东方财经,http://czkeji.vip:9000/rtp/239.252.219.57:5140
欢笑剧场4K,http://czkeji.vip:9000/rtp/239.252.219.224:5140
中国天气,http://mgtv.home.023646.xyz/14521452145214521452145214521/959986621
中国天气,http://czkeji.vip:9000/rtp/239.252.219.143:5140
财富天下,http://mgtv.home.023646.xyz/14521452145214521452145214521/956923159
财富天下,http://czkeji.vip:9000/rtp/239.252.220.240:5140
都市剧场,http://38.75.136.137:98/gslb/dsdqpub/dsjchd.m3u8?auth=testpub
都市剧场,http://czkeji.vip:9000/rtp/239.252.219.225:5140
文物宝库,http://1.94.31.214/php/hntv.php?id=wwbk
文物宝库,http://czkeji.vip:9000/rtp/239.252.220.158:5140
书画频道,http://czkeji.vip:9000/rtp/239.252.219.99:5140
国学频道,http://38.75.136.137:98/gslb/dsdqpub/gxpd.m3u8?auth=testpub
国学频道,http://czkeji.vip:9000/rtp/239.252.220.157:5140
梨园频道,http://czkeji.vip:9000/rtp/239.252.220.179:5140
武术世界,http://1.94.31.214/php/hntv.php?id=wspd
武术世界,http://czkeji.vip:9000/rtp/239.252.220.180:5140
中华特产,http://mgtv.home.023646.xyz/14521452145214521452145214521/959986618
中华特产,http://czkeji.vip:9000/rtp/239.252.220.213:5140
生活时尚,http://38.75.136.137:98/gslb/dsdqpub/shsshd.m3u8?auth=testpub
生活时尚,http://czkeji.vip:9000/rtp/239.252.219.54:5140
游戏风云,http://czkeji.vip:9000/rtp/239.252.219.60:5140
法治天地,http://czkeji.vip:9000/rtp/239.252.219.56:5140
生态环境,http://czkeji.vip:9000/rtp/239.252.220.216:5140
乐游,http://czkeji.vip:9000/rtp/239.252.219.141:5140
收视指南,http://czkeji.vip:9000/rtp/239.252.220.144:5140
魅力时尚,http://czkeji.vip:9000/rtp/239.252.220.137:5140
求索记录,http://czkeji.vip:9000/rtp/239.252.220.224:5140
家庭理财,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226754/index.m3u8
家庭理财,http://39.134.52.214/wh7f454c46tw3037964870_1864584140/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226754/index.m3u8
家庭理财,http://39.134.52.215/PLTV/88888888/224/3221226538/index.m3u8
家庭理财,http://czkeji.vip:9000/rtp/239.252.220.217:5140
四海钓鱼,http://mgtv.home.023646.xyz/14521452145214521452145214521/637444975
四海钓鱼,http://czkeji.vip:9000/rtp/239.252.220.214:5140
快乐垂钓,http://mgtv.home.023646.xyz/14521452145214521452145214521/961930263
快乐垂钓,http://czkeji.vip:9000/rtp/239.252.220.177:5140
新动漫,http://mgtv.home.023646.xyz/14521452145214521452145214521/961930269
新动漫,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226818/index.m3u8
新动漫,http://39.134.52.214/wh7f454c46tw3037964870_1864584140/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226818/index.m3u8
新动漫,http://39.134.52.214/wh7f454c46tw3539710292_1551189731/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226818/index.m3u8?icpid=11&RTS=1668091528&from=26&ocs=2_39.134.52.211_80&hms_devid=1124&online=1668091528&vqe=3
新动漫,http://39.134.52.215/PLTV/88888888/224/3221226501/index.m3u8
新动漫,http://czkeji.vip:9000/rtp/239.252.220.132:5140
动漫秀场,http://38.75.136.137:98/gslb/dsdqpub/dmxchd.m3u8?auth=testpub
动漫秀场,http://czkeji.vip:9000/rtp/239.252.219.59:5140
金鹰纪实,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226714/index.m3u8
金鹰纪实,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227291/index.m3u8
金鹰纪实,http://39.134.52.214/wh7f454c46tw3037964870_1864584140/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227291/index.m3u8
金鹰纪实,http://39.134.52.214/wh7f454c46tw4189828642_891619597/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226714/index.m3u8?icpid=11&RTS=1668096473&from=26&ocs=2_39.134.52.206_80&hms_devid=1124&online=1668096473&vqe=3
金鹰纪实,https://api.ggiptv.com/v/hunantv.php?id=316
金鹰卡通,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226845/index.m3u8
金鹰卡通,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227300/index.m3u8
金鹰卡通,http://39.134.52.214/wh7f454c46tw3037964870_1864584140/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227300/index.m3u8
金鹰卡通,http://39.134.52.215/PLTV/88888888/224/3221226543/index.m3u8
金鹰卡通,http://39.134.52.215/PLTV/88888888/224/3221226940/index.m3u8
金鹰卡通,http://fuxin.yunjifei.top:999/tsfile/live/1012_1.m3u8
北京卡酷少儿,http://38.75.136.137:98/gslb/dsdqpub/btvkk.m3u8?auth=testpub
嘉佳卡通,http://mgtv.home.023646.xyz/14521452145214521452145214521/614952364
嘉佳卡通,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226744/index.m3u8
嘉佳卡通,http://39.134.52.214/wh7f454c46tw3037964870_1864584140/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226744/index.m3u8
优漫卡通,http://mgtv.home.023646.xyz/14521452145214521452145214521/626064703
优漫卡通,http://38.75.136.137:98/gslb/dsdqpub/ymkt.m3u8?auth=testpub
优漫卡通,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226768/index.m3u8
优漫卡通,http://39.134.52.215/wh7f454c46tw3641197570_1150749902/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226768/index.m3u8?icpid=11&RTS=1668091629&from=26&ocs=2_39.134.52.178_80&hms_devid=1124&online=1668091629&vqe=3
优漫卡通,http://39.134.52.214/wh7f454c46tw3037964870_1864584140/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226768/index.m3u8
优漫卡通,http://39.134.52.215/PLTV/88888888/224/3221226548/index.m3u8
优漫卡通,http://fuxin.yunjifei.top:999/tsfile/live/1013_1.m3u8
优优宝贝,http://czkeji.vip:9000/rtp/239.252.220.219:5140
少儿动画,http://czkeji.vip:9000/rtp/239.252.220.136:5140
经典动画大集合,http://mgtv.home.023646.xyz/14521452145214521452145214521/629942219
宜家购物,http://39.134.52.215/wh7f454c46tw3072962814_-659148851/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226884/index.m3u8?icpid=11&RTS=1668095356&from=26&ocs=2_39.134.52.158_80&hms_devid=1124&online=1668095356&vqe=3
宜家购物,http://39.134.52.215/PLTV/88888888/224/3221226624/index.m3u8
宜家购物,http://39.134.52.215/PLTV/88888888/224/3221226920/index.m3u8
优购物,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227335/index.m3u8
优购物,http://39.134.52.215/PLTV/88888888/224/3221227063/index.m3u8
聚鲨环球精选,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227044/index.m3u8
聚鲨环球精选,http://r.xace.fun:4999/rtp/239.3.1.160:8001
聚鲨环球精选,http://r.xace.fun:4999/rtp/239.3.1.179:8001
央广购物,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227105/index.m3u8
央广购物,http://39.134.52.215/PLTV/88888888/224/3221226761/index.m3u8

☘️央视频道,#genre#
CCTV-1,http://mgtv.home.023646.xyz/14521452145214521452145214521/608807420
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227209/index.m3u8
CCTV-1,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226759/index.m3u8
CCTV-1,http://39.134.52.215/PLTV/88888888/224/3221226896/index.m3u8
CCTV-1,http://39.134.52.215/PLTV/88888888/224/3221226556/index.m3u8
CCTV-1,http://rihou.cc:555/tv/[mg]CCTV-01
CCTV-1,http://j.s.bkpcp.top/jj/cctv1
CCTV-1,http://go.bkpcp.top/mg/cctv1
CCTV-1,http://m.061899.xyz/mg/cctv1
CCTV-2,http://mgtv.home.023646.xyz/14521452145214521452145214521/631780532
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-2,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226853/index.m3u8
CCTV-2,http://39.134.52.215/PLTV/88888888/224/3221226608/index.m3u8
CCTV-2,http://j.s.bkpcp.top/jj/cctv2
CCTV-2,http://rihou.cc:555/tv/[mg]CCTV-02
CCTV-2,http://go.bkpcp.top/mg/cctv2
CCTV-2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV-2,http://m.061899.xyz/mg/cctv2
CCTV-2,http://111.26.109.75:19020/hls/2/index.m3u8
CCTV-3,http://mgtv.home.023646.xyz/14521452145214521452145214521/624878271
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-3,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227215/index.m3u8
CCTV-3,http://39.134.52.215/PLTV/88888888/224/3221226898/index.m3u8
CCTV-3,http://m.061899.xyz/mg/cctv3
CCTV-3,http://j.s.bkpcp.top/jj/cctv3
CCTV-3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-3,http://go.bkpcp.top/mg/cctv3
CCTV-3,http://rihou.cc:555/tv/[mg]CCTV-03
CCTV-3,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV-4,http://mgtv.home.023646.xyz/14521452145214521452145214521/631780421
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-4,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227324/index.m3u8
CCTV-4,http://39.135.126.62/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226741/index.m3u8
CCTV-4,http://39.134.52.215/PLTV/88888888/224/3221226517/index.m3u8
CCTV-4,http://39.134.52.215/PLTV/88888888/224/3221226845/index.m3u8
CCTV-4,http://m.061899.xyz/mg/cctv4
CCTV-4,http://rihou.cc:555/tv/[mg]CCTV-04
CCTV-4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV-4,http://go.bkpcp.top/mg/cctv4
CCTV-4美洲,http://mgtv.home.023646.xyz/14521452145214521452145214521/608807416
CCTV-4美洲,http://m.061899.xyz/mg/cctv4m
CCTV-4美洲,http://k.061899.xyz/k.php?id=cctv4m
CCTV-4欧洲,http://mgtv.home.023646.xyz/14521452145214521452145214521/608807419
CCTV-4欧洲,http://m.061899.xyz/mg/cctv4o
CCTV-4欧洲,http://k.061899.xyz/k.php?id=cctv4o
